session_id,date,education_level,subject,task_type,duration_min,num_prompts,ai_help_level,result,reuse_ai_again,satisfaction_rating,prompts_per_min,is_success
1,20210401,1,5,2,62,9,3,0,0,10,0.15,0
2,20240924,1,1,1,60,15,3,2,0,9,0.25,0
3,20220325,4,4,4,155,18,1,0,1,6,0.12,0
4,20230212,2,4,3,31,6,2,0,1,6,0.19,0
5,20221219,1,8,5,36,25,1,2,1,10,0.69,0
6,20240121,2,2,1,174,15,2,0,0,2,0.09,0
7,20240405,3,8,6,98,11,2,1,0,5,0.11,0
8,20201019,2,9,6,67,11,2,1,1,9,0.16,1
9,20220618,3,1,2,13,21,2,1,0,4,1.62,0
10,20230712,2,8,4,169,30,1,1,0,4,0.18,0
11,20221212,4,10,4,97,15,1,2,1,2,0.15,0
12,20200711,1,3,6,45,28,3,0,1,7,0.62,0
13,20250401,3,9,1,179,8,3,2,1,6,0.04,0
14,20210401,3,7,2,121,1,3,2,1,9,0.01,0
15,20220101,1,5,6,134,39,1,0,1,3,0.29,0
16,20200103,3,8,1,33,24,2,0,0,4,0.73,0
17,20201118,1,8,1,141,9,1,2,1,9,0.06,0
18,20211107,3,9,5,113,14,3,2,0,5,0.12,0
19,20240622,3,8,5,120,8,1,0,0,6,0.07,0
20,20200327,2,10,2,6,5,3,2,0,4,0.83,0
21,20201003,1,6,1,136,16,2,2,1,4,0.12,0
22,20210625,4,4,4,109,13,1,0,1,6,0.12,0
23,20240930,4,8,6,18,7,1,1,1,2,0.39,0
24,20221015,2,4,5,119,9,2,0,1,8,0.08,0
25,20221020,1,8,5,30,4,3,2,0,2,0.13,0
26,20220826,2,7,4,128,14,2,0,0,7,0.11,0
27,20200109,4,5,4,78,28,3,2,1,3,0.36,0
28,20220216,3,4,1,153,35,1,2,1,1,0.23,0
29,20200724,4,9,5,45,4,3,0,0,2,0.09,0
30,20201005,2,7,1,150,16,3,2,0,10,0.11,0
31,20201201,4,10,5,138,21,2,0,1,4,0.15,0
32,20221223,4,3,6,170,20,2,1,0,1,0.12,0
33,20250220,1,2,5,59,33,2,0,1,2,0.56,0
34,20220927,3,5,2,117,35,3,1,0,9,0.3,1
35,20230511,1,3,3,34,7,3,2,0,5,0.21,0
36,20230228,2,6,2,180,17,3,1,1,1,0.09,0
37,20210113,4,5,1,5,22,1,2,1,3,4.4,0
38,20241214,4,9,1,33,5,3,0,0,6,0.15,0
39,20210829,4,3,1,83,24,1,1,0,4,0.29,0
40,20210225,3,9,4,163,10,1,0,0,7,0.06,0
41,20200411,2,6,4,176,16,2,0,0,7,0.09,0
42,20200607,4,4,2,122,23,2,0,0,1,0.19,0
43,20220302,4,6,3,22,18,2,2,1,9,0.82,0
44,20230918,1,2,3,50,38,2,0,0,10,0.76,0
45,20241114,3,6,4,160,33,1,1,0,5,0.21,0
46,20200630,4,1,5,142,13,2,1,0,6,0.09,1
47,20230709,1,5,5,84,27,2,1,1,9,0.32,1
48,20210605,2,7,6,102,12,3,2,1,7,0.12,0
49,20200102,3,5,2,115,38,3,2,1,8,0.33,0
50,20241214,4,4,5,126,11,3,0,1,9,0.09,0
51,20231004,1,4,6,84,15,1,0,0,1,0.18,0
52,20220929,4,10,1,121,27,3,2,0,7,0.22,0
53,20250717,4,4,2,172,1,1,1,0,3,0.01,0
54,20251022,4,1,5,68,8,2,0,1,9,0.12,0
55,20230723,4,10,6,134,28,3,1,0,8,0.21,1
56,20250117,3,4,6,75,34,2,2,0,5,0.45,0
57,20241206,1,5,2,74,22,2,2,0,3,0.3,0
58,20210909,2,7,6,44,14,1,1,1,6,0.32,1
59,20250323,4,1,2,112,25,3,2,0,10,0.22,0
60,20240407,4,1,3,81,25,2,2,0,8,0.31,0
61,20220617,3,7,4,12,25,2,2,1,3,2.08,0
62,20250329,2,10,5,11,26,3,2,0,2,2.36,0
63,20241021,2,8,2,17,17,2,1,0,8,1.0,1
64,20230831,3,7,3,112,17,1,1,0,9,0.15,1
65,20200801,3,4,6,22,3,1,0,0,1,0.14,0
66,20210916,2,3,4,176,8,3,0,1,5,0.05,0
67,20240219,2,10,5,34,11,2,0,0,5,0.32,0
68,20240317,4,4,1,156,16,1,2,1,10,0.1,0
69,20210510,1,6,5,114,24,1,2,1,1,0.21,0
70,20240916,4,2,4,97,30,3,0,1,3,0.31,0
71,20251107,3,10,5,128,30,2,2,1,6,0.23,0
72,20221002,1,5,4,67,30,3,2,1,6,0.45,0
73,20200427,4,6,2,129,14,2,1,1,5,0.11,0
74,20230205,1,9,2,26,16,3,1,1,9,0.62,1
75,20220911,4,8,4,9,6,2,0,1,4,0.67,0
76,20230608,3,8,5,140,23,2,2,1,6,0.16,0
77,20250201,3,5,3,64,8,3,0,1,2,0.12,0
78,20220128,2,4,6,128,18,3,2,1,2,0.14,0
79,20220306,3,4,3,50,20,1,2,0,5,0.4,0
80,20200705,1,9,3,37,32,1,0,1,8,0.86,0
81,20250514,4,6,2,18,17,2,0,0,7,0.94,0
82,20250707,1,10,6,180,4,1,0,1,2,0.02,0
83,20221013,1,9,4,160,39,3,0,1,8,0.24,0
84,20241218,3,10,4,83,37,3,0,0,4,0.45,0
85,20220514,3,2,2,66,12,3,0,0,1,0.18,0
86,20240731,4,10,4,79,3,1,1,1,8,0.04,1
87,20201018,2,5,6,155,13,2,0,0,3,0.08,0
88,20221224,2,2,1,47,20,3,2,1,8,0.43,0
89,20210524,4,5,6,108,18,3,2,1,8,0.17,0
90,20201125,1,7,6,87,39,2,0,0,4,0.45,0
91,20200325,3,10,1,49,31,3,2,1,5,0.63,0
92,20220113,4,8,1,125,23,2,1,1,2,0.18,0
93,20211020,3,7,6,131,19,3,1,0,8,0.15,1
94,20201226,3,5,3,34,26,3,0,1,7,0.76,0
95,20200810,2,9,3,164,32,3,1,0,4,0.2,0
96,20221229,2,5,4,129,8,1,2,0,3,0.06,0
97,20230626,1,9,4,28,15,1,1,0,3,0.54,0
98,20250803,3,9,6,74,27,2,1,0,8,0.36,1
99,20210815,4,4,5,135,9,1,1,1,6,0.07,1
100,20250910,3,1,3,81,38,3,2,1,3,0.47,0
101,20250103,4,6,3,146,35,2,1,1,4,0.24,0
102,20220905,4,4,4,16,21,3,1,1,7,1.31,1
103,20210915,4,1,2,133,38,2,0,1,2,0.29,0
104,20250214,1,3,4,172,10,1,1,1,6,0.06,1
105,20240616,1,6,6,141,25,2,2,1,9,0.18,0
106,20200527,1,4,6,180,19,1,2,0,7,0.11,0
107,20210207,1,8,2,81,2,1,1,0,5,0.02,0
108,20240108,3,7,2,67,34,2,2,0,3,0.51,0
109,20211218,1,10,4,163,16,2,2,0,4,0.1,0
110,20250303,3,8,3,175,1,2,1,0,2,0.01,0
111,20241214,3,10,3,168,28,3,1,1,5,0.17,0
112,20220326,4,8,1,65,25,3,1,1,5,0.38,0
113,20200330,4,5,1,149,4,3,2,1,5,0.03,0
114,20220731,3,4,6,53,40,2,2,0,2,0.75,0
115,20200610,3,8,1,153,24,3,0,0,5,0.16,0
116,20230831,4,3,2,38,35,2,2,1,3,0.92,0
117,20221118,4,5,6,91,8,2,0,0,4,0.09,0
118,20240615,3,2,4,8,17,3,0,1,6,2.12,0
119,20221209,4,6,1,177,15,2,0,1,10,0.08,0
120,20220625,1,8,6,82,27,1,0,0,1,0.33,0
121,20230531,4,2,1,65,35,1,1,1,6,0.54,1
122,20240912,2,7,6,30,32,3,1,1,1,1.07,0
123,20240226,2,8,4,65,24,1,2,1,9,0.37,0
124,20240109,1,7,3,53,8,2,0,0,10,0.15,0
125,20200328,1,6,2,37,37,1,0,0,10,1.0,0
126,20220603,2,6,2,157,1,2,0,0,9,0.01,0
127,20221023,2,2,6,11,9,1,1,0,10,0.82,1
128,20230819,1,3,3,18,9,3,1,0,2,0.5,0
129,20250504,4,6,5,156,7,2,2,0,10,0.04,0
130,20200626,3,8,6,12,4,2,1,1,2,0.33,0
131,20250701,4,2,1,87,39,1,0,0,5,0.45,0
132,20230824,4,10,5,80,30,3,2,1,2,0.38,0
133,20210413,2,7,4,63,27,2,1,1,7,0.43,1
134,20210124,3,7,3,175,17,2,0,1,2,0.1,0
135,20210108,1,2,4,29,24,1,2,0,10,0.83,0
136,20230912,1,7,3,175,28,3,0,1,10,0.16,0
137,20230703,3,2,5,134,14,1,2,1,4,0.1,0
138,20210319,3,9,3,34,18,3,0,1,9,0.53,0
139,20200417,3,1,2,74,20,2,1,0,3,0.27,0
140,20210809,4,2,2,167,2,1,2,0,7,0.01,0
141,20240915,4,6,2,99,20,3,1,0,1,0.2,0
142,20210929,2,10,1,177,6,2,1,1,8,0.03,1
143,20241215,4,5,2,136,8,2,1,0,5,0.06,0
144,20250616,3,1,2,106,39,1,0,0,5,0.37,0
145,20220515,2,5,3,88,8,1,1,1,3,0.09,0
146,20210613,4,9,6,63,33,3,2,1,2,0.52,0
147,20240614,1,7,1,122,5,2,2,1,10,0.04,0
148,20240714,4,5,1,108,2,2,0,1,6,0.02,0
149,20201226,4,2,2,116,38,2,2,0,7,0.33,0
150,20230624,3,4,3,48,5,3,2,0,9,0.1,0
151,20250919,2,6,3,170,10,1,0,0,5,0.06,0
152,20220319,2,10,2,172,5,1,2,1,8,0.03,0
153,20250112,3,6,2,117,5,2,1,1,5,0.04,0
154,20200818,3,9,1,84,30,2,0,0,6,0.36,0
155,20230321,1,2,5,157,33,2,1,0,8,0.21,1
156,20220210,3,10,4,133,10,1,1,0,6,0.08,1
157,20201211,2,1,2,117,29,3,2,0,6,0.25,0
158,20240307,3,7,4,91,39,1,2,1,2,0.43,0
159,20230912,1,9,6,103,19,2,2,0,6,0.18,0
160,20201129,2,6,3,172,26,1,2,0,5,0.15,0
161,20240322,3,3,6,180,34,1,2,1,9,0.19,0
162,20240122,1,6,3,51,14,2,1,0,4,0.27,0
163,20210717,2,2,3,30,33,3,2,0,6,1.1,0
164,20210620,4,3,2,51,40,1,2,1,1,0.78,0
